word	sent1	sent2	group	mean	annotator1	annotator2	annotator3	annotator4	annotator5
машина	"(из зала: ""Папа с работы на <b><i>машине</i></b> привез!"")."	Начиная от трактиров, где прислуга щеголяет в шелковых рубашках, где двадцатитысячные <b><i>машины</i></b> услаждают слух меломанов, где можно найти кипу журналов, до тех заведений, по краям Москвы, в которых деревянные лавки заменяют красные диваны, а половые ходят в опорках, -- везде, если найдете какой недостаток, то уж наверно не в чае, и если возмутит что вашу душу или аппетит, то, конечно, не он.	COMPARE	1.6	1	2	1	1	3
машина	-- Есть так держать! -- в тон штурману отвечал летчик, поворачивая нос <b><i>машины.</i></b>	"-- Что это такое, скажите вы мне, -- говорила она с настойчивостью и начала затем читать текст старинного перевода книги Сен-Мартена: ""Мне могут сделать возражение, что человек и скоты производят действия внешние, из чего следует, что все сии существа имеют нечто в себе и не суть простые <b><i>машины,</i></b> и когда спросят у меня: какая же разница между их началами действий и началом, находящимся в человеке, то ответствую: сию разность легко тот усмотрит, кто обратится к ней внимательно."	COMPARE	2.2	1	3	1	2	4
машина	-- С красноармейцем, который у аварийной <b><i>машины.</i></b>	У меня было много, я мог купить себе пять <b><i>машин,</i></b> так что я знаю, что говорю.	LATER	3.2	2	3	4	4	3
машина	.. ничего...-- говорит Шолохов и садится в седло: унизительно верховому ехать в <b><i>машине,</i></b> а лошадь вести в поводу.	Не допускается установка <b><i>машины</i></b> на дно ванны.	LATER	2.0	2	1	1	3	3
машина	10-го числа в первой рас пущена <b><i>машина</i></b> с посажирами по новоторской железной дороги до Осташевской станции.	Просим товарищей обратить серьезное внимание на наших господ мастеров и метранпажей которые всеми силами стараются сорвать нашу забастовку и которые за малочисленностью штрейкбрехеров заменяют их как-то: метранпажами и помощники фактора (которых два) и кладовщик набирают строки, а мастера <b><i>машинные</i></b> накладывают на <b><i>машинах.</i></b>	EARLIER	1.4	1	1	3	1	1
машина	<b><i>Машина</i></b> заработала на полный ход.	И говорят и движутся они размеренно и механично, в ритме молотов и работающих <b><i>машин;</i></b> и когда кто-нибудь вдруг выступает отдельно, то кажется, что это откололась частица черной <b><i>машины,</i></b> странного сооружения, похожего на неведомое чудовище.	COMPARE	1.6	1	1	4	1	1
машина	<b><i>Машина</i></b> опоздала почти на полчаса.	Но прииск остался в том самом виде, как был, -- как будто хозяева вчера только уехали и в своем поспешном отъезде оставили на столах скатерти, термометр на веранде, кучи графита на горах и незапертую шахту с <b><i>машинами.</i></b>	COMPARE	1.6	1	2	1	1	3
машина	<b><i>Машины</i></b> собираются, обслуживаются и даже чинятся собственными усилиями общины, при некоторой временной помощи английских техников.	И народ, и разночинцы, и купцы, и чиновники, и интеллигенты -- все захвачены огромной <b><i>машиной</i></b> государственной и социальной жизни.	EARLIER	1.0	1	1	1	1	1
машина	Armes Kind! Und du auch hier!.. Noch ein neuer Tod! -- с крушащею болью в сердце прошептал старик, не сводя изумленных глаз со смущенно поникшей <b><i>Машиной</i></b> головки.	Фомушка измышляет Как ни счастливо разыгралось для Фомушки следствие по поводу <b><i>Машиной</i></b> жалобы, он все-таки пришел к заключению, что не мешало бы снова поднять на недосягаемую высоту авторитет своей святости в глазах хозяев.	EARLIER	4.0	4	4	4	4	4
машина	В дополнение к неоднократным моим просьбам еще раз прошу срочной высылки для штарма шести и для каждого из трех корпусов не менее двух мощных легковых <b><i>машин</i></b> с полным комплектом запасных частей, без чего управлять операциями не могу.	<b><i>Машина</i></b> завела грустное-грустное, и Антон, покачивая головой и крепко прижав руку к щеке, запел что-то несуразное, без слов и без мотива.	EARLIER	2.4	4	1	2	1	4
машина	В отверстие, сообразное величине кружков, сии последние вкладываются, при движении <b><i>машины</i></b> сами собой приходят в другую форму, по которой продергиваются, оборачиваясь и касаясь до клейма, у одной стороны формы имеющегося, и тоже сами собой падают в устроенное место.	74. Семьдесят четвертая <b><i>машина</i></b> есть ночник, которым бы ночью улицы осветить, изобретена от господина Фавра, 1703 года.	EARLIER	3.2	2	4	2	4	4
машина	Вода проведена <b><i>машиною</i></b> к стене, к которой прикреплена ванна.	Так например, в начале этой недели на маленькой 12-сильной <b><i>машине</i></b> завода Н.А.Г. в 3 дня покупатель совершил большую поездку из Москвы в Екатеринослав.	EARLIER	1.4	1	1	2	2	1
машина	Водитель вылез из <b><i>машины,</i></b> пошел к багажнику.	А тут еще возня с приданым, которому Песоцкие придавали не малое значение; от звяканья ножниц, стука швейных <b><i>машин,</i></b> угара утюгов и от капризов модистки, нервной, обидчивой дамы, у всех в доме кружились головы.	COMPARE	1.2	1	1	1	1	2
машина	Вслед за <b><i>машинами</i></b> посредине мостовой идут цепи вьетнамских солдат.	Достигнуть этого на летательной <b><i>машине</i></b> почти невозможно.	LATER	2.0	1	4	2	1	2
машина	Вы должны были рубить зло в корне, а не в ветвях, и дать такой толчок всеобщему движенью всего, чтобы после вас пошла сама собой работать <b><i>машина,</i></b> так чтобы незачем было над ней стоять и надсмотрщику, и сим только воздвигнули бы памятник вечный вашего генерал-губернаторства.	-- Пишущая <b><i>машина!</i></b>	EARLIER	1.4	2	1	2	1	1
машина	Выделка из торфа бумаги по новому способу не требует особых <b><i>машин.</i></b>	Здесь Его Высочество был встречен исправляющим должность главного начальника г. полковником Меньшениным 1-м и горным начальником Златоустовских заводов и директором Оружейной фабрики г. полковником Аносовым; по представлении сим последним чиновников местного управления, Его Высочество изволил осматривать Минеральный кабинет, состоящий преимущественно из ископаемых округа Златоустовских заводов; потом фабрику, где производится плавка золотосодержащих наносов в шахтных печах по способу, изобретенному г. полковником Аносовым, причем им представлено было краткое описание плавки и проба золота, полученного из чугуна, опытную амальгамирную фабрику, устроенную по образцу венгерских амальгамирных мельниц; промывку песков в бочках на <b><i>машине,</i></b> изобретенной г. Агте.	EARLIER	2.6	4	1	2	3	3
машина	Дедушкин парадный костюм был уже изрядно помят, на нем появились грязные пятна -- видно, он ходил между тесно составленными <b><i>машинами</i></b> и задевал за их крылья.	Многим понравились наши землеройные <b><i>машины</i></b> -- гидравлический экскаватор Э-5015, экскаватор Э-303Б, мелиоративный экскаватор ЭМ-152Б.	LATER	2.4	1	3	3	1	4
машина	Для таких баснословных урожаев огородникам приходится обращаться в <b><i>машины</i></b> и отказываться от всех радостей жизни, но во всяком случае эти труженики оказали человечеству громадную, неоценимую услугу тем, что они научили нас делать самим себе нужную почву.	Изучать органы независимо от их отправления, организмы независимо от их жизни почти так же невозможно, как изучать <b><i>машину</i></b> и ее части, не интересуясь их действием.	EARLIER	3.0	3	4	4	1	3
машина	Для устранения этих недостатков, сопряженных с работой на швейной <b><i>машине,</i></b> Шеллер и компания в Нью-Йорке рекомендовал снаряд, который легко может быть приделан ко всякой <b><i>машине</i></b> и позволяет приводить ее в движение весьма легким давлением.	На монетном дворе две <b><i>машины</i></b> паровые.	EARLIER	2.6	2	2	3	2	4
машина	Ей удалось сразу же открыть калитку (как он сразу же открыл <b><i>машину,</i></b> наитие открывает нам чужие вещи), и дальше она шла по расчищенной дорожке к веранде.	Епифанов уже самостоятельно водил <b><i>машину</i></b> и три раза ездил в Хабаровск и обратно.	LATER	4.0	4	4	4	4	4
машина	Жидкий свет ацетилена, едва пробиваясь сквозь молочную, безвыходную тьму, круто спускался по обрывистому кустарнику, ведя за собой, как на поводу, <b><i>машину.</i></b>	Нам и так пора наступила сбавлять ход, чтобы застопорить <b><i>машины</i></b> для приемки лоцмана в заливе.	LATER	1.6	1	2	2	2	1
машина	"Журналист: После наших публикаций о ""багги"" редакция получила около трех тысяч писем от читателей, решивших взяться за постройку такой <b><i>машины.</i></b>"	Скажем, чтобы посеять рис, шести <b><i>машинам</i></b> надо неоднократно пройти по пашне.	LATER	2.4	1	3	2	3	3
машина	Здесь мерно стучали <b><i>машины,</i></b> встряхивая железные ящики с черной землей, шипел и свистел сжатый воздух, на вагонетках стояли готовые формы.	Так ли, сяк ли, урожай 1861 года был, хотя с страшными мучениями, перемолочен частию цепами, частию убогою <b><i>машиной.</i></b>	COMPARE	3.4	2	4	3	4	4
машина	Здесь мы опускаем историю несостоявшейся свадьбы с Уэллсом, когда Мура грозила Уэллсу, едучи с ним в такси, что выбросится на ходу из <b><i>машины,</i></b> если он будет настаивать на венчании.	Было еще темно, когда на Московском вокзале меня встретили два незнакомых сотрудника Физтеха, усадили в <b><i>машину</i></b> и повезли на Лесной.	LATER	4.0	4	4	4	4	4
машина	Или, может, о вашей -- Орландо, едем, куда скажет сеньор Филипп, -- кинула она через плечо, когда втроем -- капрал на два шага сзади -- они выходили из театра к <b><i>машине.</i></b>	Но понеже таким образом на полу верхней избы много ям чинится, которые хотя и наполнить можно, однако 39 <b><i>машина,</i></b> плоская кровля избы изобретена от господина Трушета, 1699, которая помянутый недостаток многих ям уничтожает.	COMPARE	2.2	2	4	1	3	1
машина	Информбюро капитан Навозов отправились на яшиной <b><i>машине</i></b> под Чернигов -- ходили еще вчера слухи, что он должен сегодня обязательно пасть.	Глаза тигра следили за воздушной <b><i>машиной.</i></b>	LATER	1.8	1	1	1	3	3
машина	Как только последние удары инструментов докончили русло канала, Драченов на <b><i>машине</i></b> понесся к лесоучастку.	Кто же это из действительно мыслящих людей верит в наше время в объективный, самой природе присущий нравственный порядок Для людей образованных в огромном большинстве их природа есть равнодушная <b><i>машина.</i></b>	COMPARE	1.0	1	1	1	1	1
машина	Мать ее Лукинична гнулась до потемок над швейной <b><i>машиной</i></b> -- помогала портнихе, взятой из станицы.	Старая <b><i>машина,</i></b> она, может, и сто долларов не стоит -- старьё.	LATER	1.6	1	1	3	2	1
машина	Миша, видимо, сбился с колеи, <b><i>машину</i></b> развернуло поперек дороги.	"Объявления Мазь ""МАДИЯ"" высокого качества рекомендуется для смазки <b><i>машин</i></b> взамен говяж."	COMPARE	1.6	1	1	3	1	2
машина	Мы садимся в <b><i>машину.</i></b>	-- Ты действительно думал купить ей <b><i>машину</i></b> -- спросил Карташев.	COMPARE	4.0	4	4	4	4	4
машина	"На автомобильной гонке на выносливость <b><i>машин</i></b> Петербург-Рига-Петербург прибыла первой в 2 часа 23 минуты пополудни <b><i>машина</i></b> завода Оппель, фирмы ""Победа"" без штрафных очков."	Сотни работников уверенно ходили между <b><i>машинами,</i></b> и ни шаги их, ни голоса не были слышны среди моря звуков.	EARLIER	1.0	1	1	1	1	1
машина	На платформе царствовало необычайное оживление: выгружали земледельческие <b><i>машины</i></b> и камень, слышалась беготня и громкие крики на странном горловом жаргоне.	Сонно чмокают шлепки плиц, под палубой тяжело возится <b><i>машина,</i></b> сипит-вздыхает пар, дребезжит какой-то колокольчик, глухо ерзает рулевая цепь, но все звуки -- не нужны и как будто не слышны в дремотной тишине, застывшей над рекой.	EARLIER	3.2	2	2	4	4	4
машина	Начали работать в <b><i>машине,</i></b> выбирать лед и грязь.	Людей невозможно считать только умственными <b><i>машинами,</i></b> располагая ими так, как располагает полководец массами солдат, когда составляет план баталии.	EARLIER	1.6	1	2	1	1	3
машина	"Но он избрал ""корвайр"", создал ему дурную славу; спрос на эту <b><i>машину</i></b> прекратился, и она стала достоянием музеев."	Бежала рядом дорога, шоссе -- темное и прямое, -- проносилась по нему <b><i>машина</i></b> с желтыми фарами, высвечивала по очереди все дорожные знаки, стрелы и надписи.	LATER	3.8	4	4	3	4	4
машина	"О том, что <b><i>машина</i></b> найдена, он узнал рано утром перед выездом из Лиды, когда по ""ВЧ"" позвонил в Управление и ему перечислили все основные происшествия минувших суток в районе передовой и в тылах фронта."	Это было так же нужно, как обедать, когда есть хочется; и для этого так же нужно, как приготовить обед, нужно было вести хозяйственную <b><i>машину</i></b> в Покровском так, чтобы были доходы.	COMPARE	1.2	2	1	1	1	1
машина	О цене <b><i>машин</i></b> Полгеймовых стыжуся писать, как несогласно с первым, для которого просил я его зятя, чтоб к нему отписал о присылке последней резолюции, которую, надеюся, получа на предбудущей почте к вам отправлю.	Для писателя, привыкшего писать на писальной <b><i>машине</i></b> (а в Америке это становится обычным делом), нет абсолютно никакого затруднения самому набирать свое произведение.	EARLIER	2.8	1	1	4	4	4
машина	Общими усилиями -- Семен, Дитятичев, Дудырев, шофер с <b><i>машины</i></b> -- цепляясь за густую шерсть на боках, толкая друг друга плечами, перевернули тяжелую тушу.	"Понятно, что не по каждому делу можно было пускать в ход такую громоздкую <b><i>машину;</i></b> при широком развитии частного судопроизводства (так называемых третейских судов, см. с. 133) только самые крупные как гражданские, так и уголовные дела достигали суда ""гелиастов""."	COMPARE	1.8	4	2	1	1	1
машина	Одна из вражеских <b><i>машин</i></b> вышла из строя.	"Двигатели ""Каравеллы"" -- так назвали конструкторы реактивный лайнер, положивший начало новому направлению в компоновке самолетов, -- перекочевали на самый хвост <b><i>машины.</i></b>"	LATER	3.4	4	3	4	4	2
машина	Он не ради щегольской фразы, но от глубины чистого и любящего сердца произнес свой афоризм на большом московском собрании матерей: -- Тот, кто написал хорошую книгу для детей или изобрел детские штанишки, не связывающие движений и приятные в носке, -- тот гораздо более достоин благодарного бессмертия, чем все изобретатели <b><i>машин</i></b> и завоеватели стран.	Направляя поршневый стержень паровой <b><i>машины</i></b> посредством кулисы или параллелей, особенное внимание обращают на то, чтоб они были выполнены с возможным совершенством.	COMPARE	3.0	4	1	2	4	4
машина	Она остановила <b><i>машину</i></b> не совсем ладно, мотор заглох.	Эмгебистская легковая <b><i>машина</i></b> исчезает за углом, а я остаюсь на мостовой с большим плохо связанным узлом в руках.	LATER	4.0	4	4	4	4	4
машина	Они понурились и старались не смотреть в сторону <b><i>машины.</i></b>	Вот какая-то <b><i>машина</i></b> проехала слишком близко к милиционеру, и тот отпрыгнул, но тут же засвистел и побежал штрафовать.	LATER	4.0	4	4	4	4	4
машина	"Последуем же за Гальвани в его знаменитых опытах: ""Я разрезал лягушку и положил ее безо всякого умысла на стол, где на некотором расстоянии стояла электрическая <b><i>машина.</i></b>"	Потом -- дача, приезд шурина на <b><i>машине,</i></b> богатый стол, батарея водочных бутылок, салат с крабами под майонезом, и домашние грибы в миске -- гриб мелкий, ненабрякший, в меру скользкий, в меру плотный -- хороший, не черный гриб, и хлеб черный -- теплый.	LATER	1.2	1	1	2	1	1
машина	Потом они вызвали бы папину персональную <b><i>машину</i></b> и, бледные, взволнованные, отправились бы в писчебумажный магазин, обмениваясь по дороге соображениями, зачем мне так подозрительно срочно понадобилась тетрадь.	"Вам лучше всего переговорить с Ринчино, с военным ведомством, оно посылает три <b><i>машины</i></b> за Косичем в Верхнеудинск!""."	LATER	4.0	4	4	4	4	4
машина	"Поэтому все говорит за постройку простейших ""багги"", <b><i>машин</i></b> массового типа, которые могут быть успешно использованы для учебно-тренировочной работы и для участия в кроссах, в первую очередь местного значения."	Я уверен, что всякая заминка в деле флота будет для него гибельной, нельзя на полном ходу останавливать или давать задний ход <b><i>машине</i></b> -- это ведет к ее поломке.	COMPARE	2.6	4	4	3	1	1
машина	При сем заводе таковых разных <b><i>машин</i></b> 13, которые изобрел Полгейм.	Эти <b><i>машины</i></b> я видел на выставке в Miinchen'e в ходу и, продолжительное время старательно наблюдая их функционирование, убедился в его простоте и правильности, на что мое внимание обратили и в Берлине.	EARLIER	3.0	1	3	4	4	3
машина	Рабочей же силы, по предварительному расчету, понадобится двести тысяч человек, на четыре года, при условии применения лучших и дорогих <b><i>машин.</i></b>	В стране с неразвитою или первобытною правительственною <b><i>машиною</i></b> и промышленностью нет спроса для истинного образования, особенно высшего, и там, где господствуют вялость и формализм, самостоятельные специалисты с высшим образованием не находят деятельности в общественных и государственных сферах, а потому впадают или в метафизические абстракты и уродливые утопии, или просто в отчаяние и излишества, а в лучшем случае -- в ненужную диалектику и декадентское празднословие.	EARLIER	1.2	1	1	2	1	1
машина	Сия <b><i>машина</i></b> требует колодезя, который глубоко в землю выкопан и обстроен кирпичом и купно на своем верху имеет четвероугольный ящик для воды, который довольно всегда в себя втекающей воды иметь должен; над глубоким колодезем строят высокие деревянные быки, на которых верхней части ворот находится, который свободно поворачиваться может.	Решили поставить таковые при д. Катышево, для чего катышевским обществом обещано выстроить для пожарной <b><i>машины</i></b> сарай.	EARLIER	2.0	2	2	3	1	2
машина	Сложнейший комплекс <b><i>машин</i></b> перемещался в каменном чреве подводной горы, погружаясь в хрупкий красно-бурый минерал.	"-- У них есть у кого-нибудь ""Москвич-400"" Милицейский сержант усмехнулся: -- На те деньги, что они зарабатывают, только <b><i>машины</i></b> и покупать."	LATER	1.8	1	2	2	3	1
