word	sent1	sent2	group	mean	annotator1	annotator2	annotator3	annotator4	annotator5	part
взлом	Скажем, это -- подготовка кражи или убийства человека, либо уничтожения или <b><i>взлома</i></b> информации.	И вот сначала мелкая кража с прилавка, для пробы, а потом <b><i>взлом,</i></b> еще один.	COMPARE	2.6	4	1	3	4	1	2
дума	Если бы он надолго не уединялся от мелочной, грязной жизни базара, если бы он не лелеял своих <b><i>дум</i></b> и поэтических грез на вольном просторе, вдали от торгашеского шума жизни, -- можно наверно сказать, что в русской поэзии не было бы тех чарующих звуков, какими так богаты песни Кольцова.	Кроме того, был сделан набор другого воззвания к избирателям Государственной <b><i>думы.</i></b>	EARLIER	1.0	1	1	1	1	1	1
мама	Хорошо ли им живется Хорошо ли живется их <b><i>мамам,</i></b> если вынуждены они отрывать от себя ребенка В разгаре лето.	Но в тайге я нахожу какого-то постоянного жителя, здесь нет обитателей, здесь все подавлены так же, как я. 3 Ноября в восьмом часу вечера получил телеграмму что <b><i>мама</i></b> скончалась 1 Ноября -- 4-го похороны.	COMPARE	3.8	4	4	4	4	3	1
привет	Такой это был простой и искренний <b><i>привет,</i></b> что не смешал он доктора и не сконфузил, а только с самого его приезда в Москву от этих слов ему впервые сделалось веселее и отраднее.	Поэтому, поздравляя вас с днем ангела, мы поступим вполне согласно с обстоятельствами дела (тайные советники, заслышав этот достолюбезный оборот речи, кивают головами), ежели в этом поздравлении соединим наш сердечный <b><i>привет</i></b> и верным сообщницам вашим на поприще яичного и курятного производства.	EARLIER	3.4	4	4	3	4	2	1
исполнитель	"Он выбрал пьесу (или ему ее дали), он выбрал <b><i>исполнителей</i></b> (или ему их дали), он время от времени только по делам своего спектакля имеет дело с директором (счастливый!), но, самое главное, он не ощущает за своей спиной это огромное, годами создававшееся учреждение под названием ""театр"", где две трети артистов не заняты, уже много лет ничего не делают, отвыкли репетировать, не знают, что такое работа над ролью и т.д. Горе режиссеру, который на деле, на самом себе узнает, что такое психология этих артистов."	Актер Владлен Давыдов нарисовал ему живописную картину того, как в случае кончины такого рода (что, конечно, маловероятно, Боже упаси!) свинцовый гроб с телом Бориса Александровича будет доставлен в Москву и прах его после сожжения заключат в Кремлевскую стену с подобающими почестями, как и полагается <b><i>исполнителю</i></b> роли Ленина, погибшему от пули врагов.	EARLIER	4.0	4	4	4	4	4	2
пружина	Дурак-безумец иногда вдруг как на <b><i>пружине</i></b> выскакивал из него с какой-то злобой.	Он мчался, как птица, крепко и часто ударяя о землю ногами, которые внезапно сделались крепкими, точно две стальные <b><i>пружины.</i></b>	COMPARE	3.8	4	3	4	4	4	1
дума	Поручал ему разные дела, присутствие в боярской <b><i>думе</i></b> и в заседаниях разных комиссий.	В 1 час дня экстренно назначили заседание конституционно-демократической фракции перед заседанием в Государственной <b><i>думе</i></b> для обсуждения формулы перехода к очередным делам по поводу открытия заговора на государя.	EARLIER	3.0	3	3	4	3	2	1
корпус	Действительно, когда <b><i>корпус</i></b> был передан обратно в Донскую армию, Мамонтов вступил вновь в командование им, собрал значительное число сабель, и впоследствии за Доном <b><i>корпус</i></b> этот нанес несколько сильных ударов коннице Буденного.	"Империалисты США охотно вняли этой ""просьбе"" и, как публично заявил в конце января 1952 года директор отдела исследований и усовершенствования химического <b><i>корпуса</i></b> армии бригадный генерал Уильям Кризи, Соединенные Штаты ведут широкую подготовку к бактериологической войне."	EARLIER	3.4	4	4	4	4	1	2
дума	Должно полагать, пестрая моя <b><i>дума</i></b> крепко и глубоко усыпила меня, потому что хотя я и не однажды слышал ворчанье и громкий лай собаки, лежащей у меня вместо подушки, но никак не мог открыть глаз.	Петр Дементьич с особенным усердием стучал молоточком, словно усиленной работой пытаясь отогнать тяжелые <b><i>думы.</i></b>	EARLIER	4.0	4	4	4	4	4	1
вышка	Прожекторы на сторожевых <b><i>вышках,</i></b> установленных по углам забора, заливали все вокруг ослепительным мертвенным светом.	На одной из диорам изображено в разрезе вскрытие нефтяных пластов, находящихся под дном моря; представлены буровые <b><i>вышки,</i></b> установленные на сваях, на конструкциях и на эстакадах.	EARLIER	2.8	3	4	2	2	3	2
глянец	Да хоть пилите себя на куски на шести квадратных метрах, отведенных для вашего аттракциона, на нем все равно будет лежать <b><i>глянец</i></b> академизма!	"Савинков же всегда одет был с иголочки, тщательно вымытый, до, глянца выбритый и надушенный аткинсоновским ""Шипром""."	COMPARE	2.0	3	3	1	2	1	2
игра	Но если однажды ты получишь удовольствие от <b><i>игры</i></b> с чужой памятью -- тебе пора уходить.	В основу <b><i>игры</i></b> положена популярная среди горожан схема линий московского метрополитена.	LATER	1.2	1	2	1	1	1	2
ломберный	Саша принес лампу под зеленым абажуром и поставил ее на <b><i>ломберный</i></b> стол.	Мужчины и женщины за <b><i>ломберным</i></b> столом.	EARLIER	4.0	4	4	4	4	4	2
привет	Марья Алекс[андровна] шлет Вам обоим <b><i>привет</i></b> и благодарит за очень понравившуюся ей Вашу карточку.	Писал (бы) теперь к тебе больше, но не совсем здоров; да я и расстроен немножко: засуха у нас ужасная, неслыханная, сена почти нет и не будет, а это по-заводскому -- первый продукт для заработка; теперь уже маленькую копну сена продают по 1 руб. сер., что же будет дальше Прошу также засвидетельствовать мое глубокое почтение и мой усерднейший поклон передать твоей супруге (и мой душевный и сердечный <b><i>привет</i></b> твоим детям), также равно и добрейшей Наталии Петровне; тебя же заочно обнимаю, жму тебе руку и навсегда остаюсь твой Ив.	EARLIER	4.0	4	4	4	4	4	1
инкубатор	"До 2008 года Правительство Москвы планирует предоставить в распоряжение малого бизнеса около 2,5 млн. кв. м -- под эти цели будут отданы неиспользуемые площади завода ""Метромаш"" и построен бизнес-инкубатор ""Промсити"" для малых и средних предприятий."	Словно все из одного <b><i>инкубатора</i></b> повылазили.	LATER	1.4	2	1	2	1	1	2
завязка	"Подождав, пока они остаканятся, она плаксивым просительным голосом, обращаясь к тете Симе, произнесла: -- Тетя Сима, говорят, у тебя кое-какие <b><i>завязки</i></b> в гинекологии имеются -- Ну"" -- Поговори там насчет местечка для меня на следующей неделе"" а то луны уже второй месяц нет"" по-любому залетела."	И самое смешное -- допустим, это начало такой книги, то, что я пишу; что вот я собрался и начал, -- самое смешное, что будешь писать, напишешь -- и окажется и композиция, и язык (развязка, <b><i>завязка,</i></b> метафора) -- и вся литература налицо.	COMPARE	1.0	1	1	1	1	1	2
модель	Но перед мысленным взором недавнего кембриджца все детальней вырисовывалась замечательно абсурдная и потому притягательная картина: сочетание классической невозможности резерфордовской <b><i>модели</i></b> и ее реальной плодотворности!	"Герой эпохи -- это инженер и физик, который вычисляет, который проектирует, который ""строит <b><i>модели"".</i></b>"	EARLIER	2.6	3	4	1	1	4	2
дума	"Как же тогда быть с матерью Какие она тогда песни запоет"" От этих <b><i>дум</i></b> голова Михаилы отяжелела."	Правительство тотчас же, впервые со времени учреждения Государственной <b><i>думы,</i></b> испросило разрешение Монарха прервать указом занятия Государственной <b><i>думы</i></b> и Государственного совета на Рождественские каникулы и в этот перерыв провело этот закон по статье 87.	EARLIER	1.0	1	1	1	1	1	1
знатный	-- Это почему так -- На днях приехал сюда один <b><i>знатный</i></b> немецкий барон с баронессой, супругой, из Берлина.	Наконец, стараниями Карла II <b><i>знатные</i></b> его любовницы примирились с плебейками, сиживали с ними за одним столом и чередовались на королевском ложе.	EARLIER	3.8	4	3	4	4	4	1
взлом	"От себя добавим, что номера телефонов, по которым говорит абонент, являются конфиденциальной информацией, и их распечатка (мало ли, в чьи руки она попадет, почтовые ящики в наших подъездах на охране не стоят и часто подвергаются ""взломам"") может рассматриваться как внедрение в личную жизнь."	Отправив бойца караулить окна, Прокофьев приступил к <b><i>взлому.</i></b>	COMPARE	3.2	4	1	4	4	3	2
рождество	Если до <b><i>Рождества</i></b> не будет от нас нового письма, значит, дела наши плохи...	Но теперь он был семейный человек, жил в стране, где <b><i>рождество</i></b> для всех праздник, и он решил в этот раз не отставать от людей и тоже по-своему отпраздновать.	EARLIER	4.0	4	4	4	4	4	2
присутствие	В правлении казак отдал мой сопроводительный пакет; вскрыв его, писарь в <b><i>присутствии</i></b> старшины стал читать.	"Он веселел немного только в <b><i>присутствии</i></b> старого Коваля, который своим балагурством и хохлацкими ""жартами"" разгонял туляцкую скуку."	COMPARE	3.8	4	4	4	3	4	1
завязка	На полных плечах и влажной спине сероватый неровный загар мешался со знакомыми веснушками; на шее, там, где ровный пушок постепенно переходил в соломенную желтизну заколотых волос, виднелись грубые <b><i>завязки</i></b> чего-то отгоревшего: вероятно, купальник, но больше похоже на фартук.	Утром десятого октября мы погрузились в наш заправленный под <b><i>завязку</i></b> и газом и бензином ЛАЗ и выехали в Самтредиа.	LATER	1.2	2	1	1	1	1	2
сволочь	.. только они обыкновенно удаляются от шума и с трудом заводят новые знакомства, тогда как городская <b><i>сволочь</i></b> тотчас бросается в глаза и завлекает в разные глупости таких бесхарактерных простяков, каков я, например.	Сашка вернулся к столу, прошептал: -- Продал, <b><i>сволочь.</i></b>	EARLIER	2.6	3	1	2	4	3	1
знатный	По крайней мр, невозможно сомнваться, чтобъ наука не была полезна <b><i>знатному</i></b> и благородному человку, только бы онъ зналъ употреблять ея на добро, и вмсто чтобъ гордиться своимъ просвщеннымъ умомъ, употреблялъ бы оную къ управленiю своего сердца, и къ приведенiю въ совершенство своего разума.	Вслед за тем Иван приказал замучить многих <b><i>знатных</i></b> лиц, обвиненных в соумышлении с конюшим.	EARLIER	3.4	4	4	2	3	4	1
