Error type,Sentence 1,Sentence 2,Model score,Annotators scores
1,"Поручик, еще весь потрясенный непочтительностию, весь пылая и, очевидно, желая поддержать пострадавшую <b><i>амбицию</i></b>, набросился всеми перунами на несчастную ""пышную даму"", смотревшую на него, с тех самых пор как он вошел, с преглупейшею улыбкой. ","А может, Сталин думал уже о будущих совместных с Гитлером акциях по разделу глобальных сфер интересов Нельзя исключать подобные <b><i>амбиции</i></b> ""вождя народов"".",4,1 1 1
2,"Итак, чтобы покончить с этим предметом, прошу Вас, друг мой, никогда не опасаться задеть мою авторскую <b><i>амбицию</i></b>.","Разговор, конечно, бессмысленный и бесполезный, но наведший все на те же размышления: о Церкви, о Православии, о той мелочной и даже злобной каше интриг, самолюбий, <b><i>амбиций</i></b>, эгоцентризмов, в которой приходится в Церкви жить.",1,4 3 4
1,"Вестовой Лаврюшка и слышал, как старший офицер вломился в <b><i>амбицию</i></b> и пригрозил, что спишется по болезни с клипера на берег и возвратится в Россию.",Банкиры и сверхбогатые бизнесмены-олигархи уже открыто демонстрируют свои <b><i>амбиции</i></b>.,4,3 1 1
3,"Я припоминаю эти стишки, но не все: ""Вильде со скалкой, Садовский с палкой, Жандармы, полиция, Островский с <b><i>амбицией</i></b>"".","Говорун полез было в <b><i>амбицию</i></b>, но я показал ему указательный палец и засадил чистить лук.",4,1 2 3
1,"Скоро прибыли к нему <b><i>братья</i></b> его, Андрей и Борис, с их многочисленною дружиною: не было ни упреков, ни извинений, ни условий; единокровные обнялися с видом искренней любви, чтобы вместе служить отечеству и христианству.","Он говорил ей: ""Ты, <b><i>брат</i></b>"".",4,2 1 2
3,"Я, разумеется, не про ремесла говорю, не про технику, не про математические знания, -- этому и немцы заезжие по найму научат, если мы не научим, нет, а мы-то чему Мы ведь русские, <b><i>братья</i></b> этому народу, а стало быть, обязаны просветить его.",Их четыре <b><i>брата</i></b>.,1,2 4 3
2,"Он, как видно из его стихотворений, взялся за дело поэта по призванию; он сильно сочувствует вопросам своего времени, страдает всеми недугами <b><i>века</i></b>, болезненно мучится несовершенствами общества и сгорает нетщетно жаждою споспешествовать его совершенствованию и торжеству на земле истины, любви и братства.",Во второй половине прошлого <b><i>века</i></b> рытье колодцев было заменено бурением скважин.,1,4 3 4
1,"Государственная подать в IX и X <b><i>веке</i></b> состояла у нас более в вещах, нежели в деньгах.","Им казалось, что Тамань так и звалась испокон <b><i>веков</i></b>.",4,1 1 2
4,"Обычай, которого самовар составляет ядро и душу, занял место в самой средние нравов нашего <b><i>века</i></b> и привлекает к себе их частицы в целой суточной жизни человека.",Чего ты на своем <b><i>веку</i></b> видал Двор свой да поле.,1,4 3 3
1,Вадима Петровича начинало брать раздражение и на бывшего своего <b><i>дядьку</i></b>.,"-- Что за ярмарка -- Так День Нэзалэжности! -- отвечает <b><i>дядька</i></b> в национальном гуцульском костюме, с приклеенными усами.",4,1 1 1
